model,metric,metric_label,mean,ci_halfwidth,ci_low,ci_high
CheXpertPlus_MIMIC,BLEU-2,BLEU-2 (2002),0.20779313651665676,0.007755278423647025,0.20003785809300972,0.2155484149403038
CheXpertPlus_MIMIC,BERTScore,BertScore (2019),0.4345227668644068,0.007949456848305086,0.42657331001610166,0.4424722237127119
CheXpertPlus_MIMIC,SembScore,SembScore (2020),0.5914190299491525,0.01640233352197029,0.5750166964271822,0.6078213634711228
CheXpertPlus_MIMIC,1/RadCliQ-v1,1/RadCliQ-v1 (2022),1.1283284249751875,0.043919114099070566,1.0844093108761168,1.1722475390742582
CheXpertPlus_MIMIC,RadGraph,RadGraph (2022),0.20736919307293944,0.009793092419579291,0.19757610065336015,0.21716228549251873
CheXpertPlus_MIMIC,AlignScore,AlignScore (2023),0.47874770663299804,0.015847587389397927,0.4629001192436001,0.494595294022396
CheXpertPlus_MIMIC,GREEN,GREEN (2024),0.5977698901851445,0.02221581813901735,0.5755540720461272,0.6199857083241618
CheXpertPlus_MIMIC,CRIMSON,Crimson (2026),0.654406440677966,0.040027730932203354,0.6143787097457627,0.6944341716101694
CheXpertPlus_MIMIC,ICARE-GT,ICARE-GT (2025),0.5682697062006371,0.02290313956711887,0.5453665666335182,0.591172845767756
CheXpertPlus_MIMIC,ICARE-GEN,ICARE-GEN (2025),0.7071629882913842,0.022634424449533064,0.6845285638418512,0.7297974127409173
CheXpertPlus_MIMIC,ICARE-AVG,ICARE-AVG (2025),0.6384508068808018,0.016887494088176247,0.6215633127926256,0.655338300968978
CheXpertPlus_MIMIC,ICARE-PRE_DEF,ICARE-Predefined (2025),0.7272994350282486,0.00733738229755182,0.7199620527306967,0.7346368173258004
CheXpertPlus_CheX_MIMIC,BLEU-2,BLEU-2 (2002),0.2080259892743244,0.007931153577938693,0.2000948356963857,0.21595714285226308
CheXpertPlus_CheX_MIMIC,BERTScore,BertScore (2019),0.4674104338305085,0.00802988248665254,0.45938055134385597,0.47544031631716105
CheXpertPlus_CheX_MIMIC,SembScore,SembScore (2020),0.5901355798288135,0.017464460111144053,0.5726711197176695,0.6076000399399575
CheXpertPlus_CheX_MIMIC,1/RadCliQ-v1,1/RadCliQ-v1 (2022),1.2257945773937282,0.05262986067568198,1.1731647167180461,1.2784244380694103
CheXpertPlus_CheX_MIMIC,RadGraph,RadGraph (2022),0.22138578724885188,0.009041750366345233,0.21234403688250664,0.23042753761519713
CheXpertPlus_CheX_MIMIC,AlignScore,AlignScore (2023),0.4733978320560339,0.015883864324709562,0.45751396773132436,0.4892816963807435
CheXpertPlus_CheX_MIMIC,GREEN,GREEN (2024),0.6396885929513048,0.02216703658864677,0.6175215563626579,0.6618556295399516
CheXpertPlus_CheX_MIMIC,CRIMSON,Crimson (2026),0.6329445762711864,0.04022446398305085,0.5927201122881356,0.6731690402542372
CheXpertPlus_CheX_MIMIC,ICARE-GT,ICARE-GT (2025),0.5947823829079173,0.024252607711989727,0.5705297751959275,0.6190349906199071
CheXpertPlus_CheX_MIMIC,ICARE-GEN,ICARE-GEN (2025),0.773672842207672,0.021167080119837256,0.7525057620878347,0.7948399223275092
CheXpertPlus_CheX_MIMIC,ICARE-AVG,ICARE-AVG (2025),0.6847904450724247,0.018298367480557354,0.6664920775918673,0.7030888125529821
CheXpertPlus_CheX_MIMIC,ICARE-PRE_DEF,ICARE-Predefined (2025),0.7258681732580037,0.007745856873823009,0.7181223163841807,0.7336140301318267
MAIRA2,BLEU-2,BLEU-2 (2002),0.1628972197155278,0.008018754989883442,0.15487846472564437,0.17091597470541126
MAIRA2,BERTScore,BertScore (2019),0.4535652065864406,0.00857724045546615,0.44498796613097447,0.46214244704190677
MAIRA2,SembScore,SembScore (2020),0.6225973746525423,0.016756675384216213,0.6058406992683261,0.6393540500367585
MAIRA2,1/RadCliQ-v1,1/RadCliQ-v1 (2022),1.145034063438456,0.04380204488346051,1.1012320185549953,1.1888361083219166
MAIRA2,RadGraph,RadGraph (2022),0.1676000859367938,0.008376974759946143,0.15922311117684765,0.17597706069673993
MAIRA2,AlignScore,AlignScore (2023),0.45509110777658585,0.015267415651799982,0.4398236921247859,0.4703585234283858
MAIRA2,GREEN,GREEN (2024),0.5459794066573729,0.020667918592706724,0.5253114880646661,0.5666473252500797
MAIRA2,CRIMSON,Crimson (2026),0.6167238983050848,0.04130133898305077,0.575422559322034,0.6580252372881356
MAIRA2,ICARE-GT,ICARE-GT (2025),0.6061626139331987,0.024457965829072226,0.5817046481041265,0.6306205797622709
MAIRA2,ICARE-GEN,ICARE-GEN (2025),0.740170638642625,0.021578734791998233,0.7185919038506268,0.7617493734346232
MAIRA2,ICARE-AVG,ICARE-AVG (2025),0.6733919001482395,0.017919474800102475,0.655472425348137,0.6913113749483419
MAIRA2,ICARE-PRE_DEF,ICARE-Predefined (2025),0.7227645951035782,0.0071528248587570675,0.715611770244821,0.7299174199623353
