Source,Rank,Model,Davidson score,Normalized strength,95% CI low,95% CI high
"Clinicians
(119 samples)",1,CheXpertPlus_MIMIC,0.101619,0.36802,-0.224,0.451
"Clinicians
(119 samples)",2,MAIRA2,-0.048256,0.316797,-0.386,0.259
"Clinicians
(119 samples)",3,CheXpertPlus_CheX_MIMIC,-0.053363,0.315183,-0.373,0.256
BLEU-2 (2002),1,CheXpertPlus_MIMIC,0.2685711342210777,0.4114859416359805,0.18202144926875852,0.3673585423180139
BLEU-2 (2002),2,CheXpertPlus_CheX_MIMIC,0.2373848496457187,0.3988512623213509,0.148741257728606,0.3313182962801495
BLEU-2 (2002),3,MAIRA2,-0.5059559838667965,0.18966279604266859,-0.618715121861896,-0.40255289374353026
BertScore (2019),1,CheXpertPlus_CheX_MIMIC,0.313957625463872,0.4414591115799365,0.22954318069547183,0.4064672240459312
BertScore (2019),2,MAIRA2,0.004813571871340276,0.3240641045138427,-0.0931526237081751,0.09340108419242725
BertScore (2019),3,CheXpertPlus_MIMIC,-0.31877119733521225,0.23447678390622087,-0.4139017326587698,-0.23392922520734943
SembScore (2020),1,MAIRA2,0.288581725534469,0.4352263292774624,0.18992500631727774,0.3858469748056173
SembScore (2020),2,CheXpertPlus_CheX_MIMIC,-0.12044511636050126,0.2891192842067589,-0.1984133392621742,-0.035890359613318365
SembScore (2020),3,CheXpertPlus_MIMIC,-0.16813660917396778,0.2756543865157788,-0.26043556567172205,-0.08072885493530864
1/RadCliQ-v1 (2022),1,CheXpertPlus_CheX_MIMIC,0.18654734001792664,0.3977110492647431,0.10188802081410622,0.27525940956085
1/RadCliQ-v1 (2022),2,MAIRA2,-0.03519860531023805,0.31861382497113755,-0.1235265956530461,0.049317712444555135
1/RadCliQ-v1 (2022),3,CheXpertPlus_MIMIC,-0.1513487347076886,0.28367512576411935,-0.24450479885147358,-0.059918300942479026
RadGraph (2022),1,CheXpertPlus_CheX_MIMIC,0.3117251234819463,0.43480193602855177,0.21635012757757252,0.41311652440802094
RadGraph (2022),2,CheXpertPlus_MIMIC,0.11682011317932112,0.3578040884420391,0.031361873275428644,0.21251653946003712
RadGraph (2022),3,MAIRA2,-0.4285452366612675,0.20739397552940914,-0.5295257679131553,-0.33696611572752005
AlignScore (2023),1,CheXpertPlus_CheX_MIMIC,0.11011349331657658,0.36890083558081893,0.023780976554578188,0.197363285180073
AlignScore (2023),2,CheXpertPlus_MIMIC,0.07899530304879762,0.3575980818721542,-0.010773267613110635,0.16344846119165163
AlignScore (2023),3,MAIRA2,-0.18910879636537417,0.2735010825470269,-0.29198122974192237,-0.09334316435200744
GREEN (2024),1,CheXpertPlus_CheX_MIMIC,0.43506116201491385,0.47977106205578923,0.33015377778735117,0.5470533934429197
GREEN (2024),2,CheXpertPlus_MIMIC,0.06865678448416934,0.33258805714150463,-0.03917509932792848,0.1766079485858103
GREEN (2024),3,MAIRA2,-0.5037179464990834,0.1876408808027061,-0.6213496205337246,-0.38466780012485413
Crimson (2026),1,CheXpertPlus_MIMIC,0.29238444370526584,0.436569079866129,0.11189177757637249,0.47679348537253596
Crimson (2026),2,CheXpertPlus_CheX_MIMIC,-0.11370555641448764,0.290864237703865,-0.301719141588751,0.07275915528628212
Crimson (2026),3,MAIRA2,-0.17867888729077822,0.27256668243000604,-0.41264144339421605,0.03950374877926397
ICARE-GT (2025),1,CheXpertPlus_CheX_MIMIC,0.10218223767848458,0.3668037079332197,0.008788232702753373,0.19668823455112422
ICARE-GT (2025),2,MAIRA2,0.05929121837851997,0.3514037438873565,-0.03170368553014053,0.1516365503137699
ICARE-GT (2025),3,CheXpertPlus_MIMIC,-0.16147345605700456,0.28179254817942384,-0.25610582281785166,-0.0701056566951609
ICARE-GEN (2025),1,CheXpertPlus_CheX_MIMIC,0.14040047151826276,0.3811515001107104,0.04627632519719963,0.23548536204003814
ICARE-GEN (2025),2,MAIRA2,-0.005106765516192925,0.3295373487004649,-0.0945255887057968,0.08379875251202847
ICARE-GEN (2025),3,CheXpertPlus_MIMIC,-0.13529370600206986,0.28931115118882456,-0.2326793351893993,-0.040932372791699714
ICARE-AVG (2025),1,CheXpertPlus_CheX_MIMIC,0.14982388606617664,0.38144694446800137,0.05750018562823417,0.2393765567625881
ICARE-AVG (2025),2,MAIRA2,0.09872558619688111,0.36244526519432635,0.015051706574127865,0.18491725963332997
ICARE-AVG (2025),3,CheXpertPlus_MIMIC,-0.2485494722630578,0.25610779033767234,-0.33885391108956187,-0.15809613883800075
ICARE-Predefined (2025),1,CheXpertPlus_CheX_MIMIC,0.14501001004830386,0.38160883168063603,0.05418751360208265,0.2380674201350194
ICARE-Predefined (2025),2,CheXpertPlus_MIMIC,0.04674056488103254,0.3458920174164438,-0.042120658269382716,0.13348149847272212
ICARE-Predefined (2025),3,MAIRA2,-0.19175057492933636,0.27249915090292015,-0.29126719493494807,-0.08967262589602173
